"arc_length","Temperature"
0,10.0265
0.0243902,10.0389
0.0487805,10.0514
0.0731707,10.0639
0.097561,10.0763
0.121951,10.0875
0.146341,10.0986
0.170732,10.1097
0.195122,10.1207
0.219512,10.1299
0.243902,10.1386
0.268293,10.1474
0.292683,10.1561
0.317073,10.1626
0.341463,10.1682
0.365854,10.1738
0.390244,10.1794
0.414634,10.1828
0.439024,10.1848
0.463415,10.1867
0.487805,10.1886
0.512195,10.1886
0.536585,10.1867
0.560976,10.1848
0.585366,10.1828
0.609756,10.1794
0.634146,10.1738
0.658537,10.1682
0.682927,10.1626
0.707317,10.1561
0.731707,10.1474
0.756098,10.1386
0.780488,10.1299
0.804878,10.1207
0.829268,10.1097
0.853659,10.0986
0.878049,10.0875
0.902439,10.0763
0.926829,10.0639
0.951219,10.0514
0.97561,10.0389
1,10.0265
